# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T01:20:25Z  tag=sweep-200000  offered_qps=200000  threads=2  mode=open-loop
Value,Percentile,TotalCount,1/(1-Percentile)
11519,0.000000331912,1,1.00
23423,0.101510732053,305836,1.11
24895,0.200099640074,602869,1.25
33375,0.300654132773,905824,1.43
55199,0.400061868454,1205324,1.67
116031,0.500033191231,1506522,2.00
174719,0.550099507309,1657364,2.22
346879,0.600030071255,1807797,2.50
994815,0.650002788063,1958357,2.86
13565951,0.700011683313,2109026,3.33
28688383,0.750024893423,2259708,4.00
33947647,0.775115472291,2335302,4.45
40140799,0.800193106580,2410857,5.00
45547519,0.825350067909,2486651,5.73
49053695,0.850096453716,2561208,6.67
54329343,0.875128947931,2636627,8.01
57737215,0.887624450519,2674274,8.90
60162047,0.900488043855,2713030,10.05
60850175,0.912954670073,2750590,11.49
62062591,0.925288531368,2787750,13.38
63242239,0.937856390839,2825615,16.09
63897599,0.943950300779,2843975,17.84
64454655,0.950312727775,2863144,20.13
64978943,0.956683784491,2882339,23.09
65601535,0.962647916719,2900308,26.77
66879487,0.968872600108,2919062,32.13
67174399,0.971965690889,2928381,35.67
67633151,0.975006007613,2937541,40.01
68026367,0.978195352962,2947150,45.86
68550655,0.981709640459,2957738,54.67
68943871,0.984501354866,2966149,64.52
69206015,0.986198422487,2971262,72.46
69468159,0.987633279387,2975585,80.86
69992447,0.989237743474,2980419,92.92
70254591,0.990863449950,2985317,109.45
70516735,0.992194750209,2989328,128.12
70909951,0.993120453631,2992117,145.36
71106559,0.993932643044,2994564,164.82
71303167,0.994545685074,2996411,183.34
71696383,0.995383431734,2998935,216.61
72155135,0.996208233815,3001420,263.73
72286207,0.996591260616,3002574,293.36
72351743,0.997009470122,3003834,334.39
72482815,0.997349348323,3004858,377.27
72679423,0.997675618120,3005841,430.22
73007103,0.998180456738,3007362,549.59
73072639,0.998397195474,3008015,623.91
73138175,0.998591032261,3008599,709.74
73203711,0.998804451873,3009242,836.44
73269247,0.998926595602,3009610,931.62
73400319,0.999049735068,3009981,1052.34
73465855,0.999139351390,3010251,1161.91
73531391,0.999345468932,3010872,1527.81
73596927,0.999604028619,3011651,2525.44
73662463,0.999672402554,3011857,3052.53
73727999,0.999747414735,3012083,3959.06
73793535,0.999893124237,3012522,9356.66
73859071,0.999999668088,3012843,3012844.00
73924607,1.000000000000,3012844,0.00
