# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T02:06:44Z  tag=reload-steady  offered_qps=100000  threads=2  mode=open-loop  protocol=udp
Value,Percentile,TotalCount,1/(1-Percentile)
10887,0.000000666667,1,1.00
16103,0.100208066805,150312,1.11
16447,0.203075468717,304613,1.25
16655,0.300927533952,451391,1.43
16927,0.404202269468,606303,1.68
17199,0.502949668633,754424,2.01
17311,0.552895035263,829342,2.24
17423,0.602971068647,904456,2.52
17551,0.655359103573,983038,2.90
17695,0.703359135573,1055038,3.37
17903,0.753033835356,1129550,4.05
18015,0.777427851619,1166141,4.49
18143,0.800665867111,1200998,5.02
18319,0.825049216699,1237573,5.72
18607,0.850724567150,1276086,6.70
18991,0.875731250488,1313596,8.05
19231,0.887699925133,1331549,8.90
19567,0.900009933340,1350014,10.00
20143,0.912768608512,1369152,11.46
21103,0.925057950039,1387586,13.34
24111,0.937673291782,1406509,16.04
24671,0.943869295913,1415803,17.82
27151,0.950008633339,1425012,20.00
30655,0.956258637506,1434387,22.86
37631,0.962519975013,1443779,26.68
50175,0.968759312506,1453138,32.01
60159,0.971879314586,1457818,35.56
73279,0.975001316668,1462501,40.00
91839,0.978134652090,1467201,45.73
125055,0.981257320838,1471885,53.35
176895,0.984379322920,1476568,64.02
209407,0.985939990627,1478909,71.12
248447,0.987503991669,1481255,80.03
305151,0.989068659379,1483602,91.48
364031,0.990630660420,1485945,106.73
413439,0.992190661460,1488285,128.05
440063,0.992969995313,1489454,142.25
471039,0.993757995839,1490636,160.20
505855,0.994539996360,1491809,183.15
545791,0.995312663542,1492968,213.34
590847,0.996100664067,1494150,256.45
610815,0.996488664326,1494732,284.79
628735,0.996875997917,1495313,320.10
651263,0.997271998181,1495907,366.57
678399,0.997659331773,1496488,427.23
716799,0.998047998699,1497071,512.29
736767,0.998243998829,1497365,569.48
763903,0.998438665626,1497657,640.48
791551,0.998634665756,1497951,732.42
839167,0.998829332553,1498243,854.21
904191,0.999025332684,1498537,1025.99
934399,0.999124666083,1498686,1142.42
967679,0.999219332813,1498828,1280.96
999423,0.999318666212,1498977,1467.71
1019903,0.999414666276,1499121,1708.43
1041919,0.999512666342,1499268,2051.98
1053695,0.999561999708,1499342,2283.10
1068031,0.999616666411,1499424,2608.69
1108991,0.999658666439,1499487,2929.69
1159167,0.999707999805,1499561,3424.66
1223679,0.999755999837,1499633,4098.36
1245183,0.999782666522,1499673,4601.22
1263615,0.999805333204,1499707,5136.98
1291263,0.999831999888,1499747,5952.38
1329151,0.999854666570,1499781,6880.73
1375231,0.999877999919,1499816,8196.72
1421311,0.999890666594,1499835,9146.34
1439743,0.999903333269,1499854,10344.82
1446911,0.999917333278,1499875,12096.77
1451007,0.999927333285,1499890,13761.46
1477631,0.999939333293,1499908,16483.51
1489919,0.999945333297,1499917,18292.67
1492991,0.999953999969,1499930,21739.12
1496063,0.999957999972,1499936,23809.51
1508351,0.999963999976,1499945,27777.76
1530879,0.999969999980,1499954,33333.31
1556479,0.999972666648,1499958,36585.34
1566719,0.999976666651,1499964,42857.11
1568767,0.999978666652,1499967,46874.97
1570815,0.999982666655,1499973,57692.27
1572863,0.999985999991,1499978,71428.52
1573887,0.999987333325,1499980,78947.32
1574911,0.999988666659,1499982,88235.24
1575935,0.999990666660,1499985,107142.79
1576959,0.999992666662,1499988,136363.55
1579007,0.999993999996,1499990,166666.56
1581055,0.999995333330,1499992,214285.57
1588223,0.999996666664,1499994,299999.80
1591295,0.999997999999,1499996,499999.67
1600511,0.999998666666,1499997,749999.50
1604607,0.999999333333,1499998,1499999.00
1614847,1.000000000000,1499999,0.00
