# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T01:08:25Z  tag=sweep-500000  offered_qps=500000  threads=2  mode=open-loop
Value,Percentile,TotalCount,1/(1-Percentile)
142082047,0.000011809695,21,1.00
146800639,0.102952423799,183070,1.11
147980287,0.206506579687,367210,1.26
148897791,0.314530424024,559298,1.46
149684223,0.414294792487,736699,1.71
150470655,0.511455966708,909471,2.05
150863871,0.558567090316,993244,2.27
151257087,0.603797660556,1073673,2.52
151781375,0.660016308627,1173641,2.94
152305663,0.711886739399,1265877,3.47
152829951,0.758364076032,1348523,4.14
153092095,0.779344843100,1385831,4.53
153485311,0.807468226296,1435840,5.19
153878527,0.832067821392,1479583,5.95
154271743,0.853811719717,1518248,6.84
154796031,0.879988190305,1564795,8.33
155058175,0.891507142054,1585278,9.22
155320319,0.901569002362,1603170,10.16
155713535,0.914114835227,1625479,11.64
156237823,0.927944550669,1650071,13.88
156762111,0.938704870093,1669205,16.31
157155327,0.944957260151,1680323,18.17
157679615,0.950583736363,1690328,20.24
158597119,0.956992464290,1701724,23.25
159776767,0.962537959735,1711585,26.69
163315711,0.968803284220,1722726,32.05
167641087,0.971900236194,1728233,35.59
173539327,0.975041615116,1733819,40.07
179437567,0.978144753121,1739337,45.76
186646527,0.981324372961,1744991,53.55
194772991,0.984387020583,1750437,64.05
199884799,0.985979642335,1753269,71.32
204210175,0.987532898437,1756031,80.21
207749119,0.989074344843,1758772,91.53
211025919,0.990718141941,1761695,107.74
213516287,0.992235968957,1764394,128.80
216137727,0.992987852885,1765731,142.61
218628095,0.993768417501,1767119,160.47
221380607,0.994573726240,1768551,184.29
222953471,0.995375098414,1769976,216.22
224657407,0.996094927455,1771256,256.08
225705983,0.996503767855,1771983,286.02
226492415,0.996912045889,1772709,323.84
227147775,0.997296704533,1773393,369.92
228327423,0.997678551344,1774072,430.77
229507071,0.998077269149,1774781,520.09
230162431,0.998276909234,1775136,580.35
230555647,0.998449555731,1775443,644.98
231079935,0.998653132381,1775805,742.46
231604223,0.998843774604,1776144,864.88
231866367,0.999025981329,1776468,1026.67
232259583,0.999185131031,1776751,1227.19
232521727,0.999249240805,1776865,1331.99
232914943,0.999348217298,1777041,1534.25
233308159,0.999426948600,1777181,1745.04
233701375,0.999534922956,1777373,2150.18
233963519,0.999616466089,1777518,2607.33
234094591,0.999655831740,1777588,2905.56
234225663,0.999681138230,1777633,3136.16
234487807,0.999723878079,1777709,3621.59
234749951,0.999769429760,1777790,4337.07
234881023,0.999805421212,1777854,5139.31
235012095,0.999853222360,1777939,6813.03
235143167,0.999876279384,1777980,8082.73
235274239,0.999888089079,1778001,8935.68
235536383,0.999892588010,1778009,9309.95
235929599,0.999894275110,1778012,9458.51
236060671,0.999906084805,1778033,10647.90
236191743,0.999928017096,1778072,13892.19
236322815,0.999936452593,1778087,15736.28
236716031,0.999942076257,1778097,17264.08
236847103,0.999947137555,1778106,18917.02
237109247,0.999958384884,1778126,24029.73
237240319,0.999970194579,1778147,33550.94
237371391,0.999978630075,1778162,46794.74
237502463,0.999987627938,1778178,80827.27
237633535,0.999991002137,1778184,111137.50
237764607,0.999996625801,1778194,296366.67
238026751,1.000000000000,1778200,0.00
