# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T02:01:28Z  tag=sweep-400000  offered_qps=400000  threads=2  mode=open-loop  protocol=udp
Value,Percentile,TotalCount,1/(1-Percentile)
136183807,0.000011269856,25,1.00
142868479,0.107973332816,239518,1.12
144048127,0.208193455640,461837,1.26
144965631,0.304393395504,675238,1.44
145883135,0.411717584626,913316,1.70
146669567,0.510080435215,1131515,2.04
147062783,0.556683092106,1234894,2.26
147455999,0.601063333434,1333343,2.51
147980287,0.657006446808,1457442,2.92
148504575,0.707098251054,1568561,3.41
149028863,0.750934383744,1665803,4.02
149422079,0.780137284875,1730584,4.55
149815295,0.805883495837,1787697,5.15
150208511,0.827510349109,1835672,5.80
150732799,0.852608768759,1891348,6.78
151388159,0.876345789830,1944004,8.09
151781375,0.888583500841,1971151,8.98
152305663,0.901961721259,2000828,10.20
152961023,0.914088987683,2027730,11.64
153747455,0.925634729548,2053342,13.45
154927103,0.937771913446,2080266,16.07
155713535,0.943979800812,2094037,17.85
156762111,0.950537053708,2108583,20.22
158466047,0.956570934501,2121968,23.03
161742847,0.962738250386,2135649,26.84
163839999,0.968816309014,2149132,32.07
165019647,0.972048052862,2156301,35.78
166461439,0.975026450352,2162908,40.04
168296447,0.978127013078,2169786,45.72
175243263,0.981251918693,2176718,53.34
185073663,0.984384938604,2183668,64.04
190316543,0.986057385204,2187378,71.72
194248703,0.987508491836,2190597,80.05
201064447,0.989077706557,2194078,91.56
202375167,0.990689295936,2197653,107.40
205258751,0.992209374086,2201025,128.36
206307327,0.993009083053,2202799,143.04
209321983,0.993774531659,2204497,160.63
212729855,0.994544488207,2206205,183.30
214171647,0.995354565441,2208002,215.27
219414527,0.996101982277,2209660,256.54
222822399,0.996486509757,2210513,284.62
225968127,0.996884110270,2211395,320.94
230817791,0.997290275873,2212296,369.04
231473151,0.997697343064,2213199,434.28
231866367,0.998098549930,2214089,525.91
231997439,0.998298251775,2214532,587.63
232128511,0.998480823439,2214937,658.25
232652799,0.998673763370,2215365,754.01
233046015,0.998855884240,2215769,874.04
233439231,0.999046570200,2216192,1048.84
233701375,0.999143941754,2216408,1168.14
233963519,0.999261599048,2216669,1354.28
234094591,0.999329668977,2216820,1491.80
234487807,0.999434253239,2217052,1767.58
234881023,0.999519002555,2217240,2079.01
235536383,0.999589326455,2217396,2435.02
235667455,0.999617726491,2217459,2615.93
235929599,0.999665059886,2217564,2985.61
236191743,0.999718704399,2217683,3554.98
236453887,0.999771447324,2217800,4375.36
236584959,0.999787225123,2217835,4699.80
236716031,0.999808863246,2217883,5231.86
236847103,0.999834558517,2217940,6044.43
236978175,0.999859352200,2217995,7109.96
237109247,0.999887752236,2218058,8908.86
237240319,0.999920660215,2218131,12604.02
237371391,0.999962133285,2218223,26408.42
237502463,0.999988730144,2218282,88732.28
237633535,0.999993238087,2218292,147887.13
237764607,1.000000000000,2218307,0.00
