# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T01:06:00Z  tag=sweep-10000  offered_qps=10000  threads=2  mode=open-loop
Value,Percentile,TotalCount,1/(1-Percentile)
17119,0.000006666667,1,1.00
25391,0.100866666667,15130,1.11
26575,0.200746666667,30112,1.25
27487,0.301246666667,45187,1.43
28335,0.401540000000,60231,1.67
29151,0.500753333333,75113,2.00
29615,0.551153333333,82673,2.23
30143,0.600733333333,90110,2.50
30703,0.651013333333,97652,2.87
31455,0.700280000000,105042,3.34
32415,0.750206666667,112531,4.00
33375,0.775346666667,116302,4.45
35135,0.800066666667,120010,5.00
37247,0.825186666667,123778,5.72
39775,0.850140000000,127521,6.67
41919,0.875153333333,131273,8.01
42815,0.887840000000,133176,8.92
43743,0.900360000000,135054,10.04
44607,0.912520000000,136878,11.43
45567,0.925220000000,138783,13.37
46687,0.937753333333,140663,16.07
47295,0.943933333333,141590,17.84
47839,0.950073333333,142511,20.03
48319,0.956626666667,143494,23.06
48895,0.962566666667,144385,26.71
49567,0.968893333333,145334,32.15
49855,0.971893333333,145784,35.58
50175,0.975193333333,146279,40.31
50591,0.978173333333,146726,45.82
51199,0.981333333333,147200,53.57
51807,0.984406666667,147661,64.13
52159,0.985993333333,147899,71.39
52671,0.987553333333,148133,80.34
53183,0.989120000000,148368,91.91
54047,0.990706666667,148606,107.60
55199,0.992193333333,148829,128.10
56287,0.992993333333,148949,142.72
57855,0.993760000000,149064,160.26
59775,0.994533333333,149180,182.93
63551,0.995313333333,149297,213.37
68543,0.996113333333,149417,257.29
71551,0.996486666667,149473,284.63
73471,0.996900000000,149535,322.58
76479,0.997273333333,149591,366.75
78847,0.997660000000,149649,427.35
81855,0.998066666667,149710,517.24
83583,0.998246666667,149737,570.34
85119,0.998446666667,149767,643.78
87295,0.998633333333,149795,731.71
88959,0.998840000000,149826,862.07
91391,0.999026666667,149854,1027.40
92543,0.999126666667,149869,1145.04
93311,0.999220000000,149883,1282.05
94911,0.999320000000,149898,1470.59
97023,0.999420000000,149913,1724.14
98815,0.999520000000,149928,2083.33
99391,0.999566666667,149935,2307.69
100735,0.999613333333,149942,2586.21
102271,0.999660000000,149949,2941.18
103807,0.999713333333,149957,3488.37
108415,0.999760000000,149964,4166.67
110719,0.999786666667,149968,4687.50
117183,0.999806666667,149971,5172.41
121535,0.999833333333,149975,6000.00
124991,0.999860000000,149979,7142.86
128255,0.999880000000,149982,8333.33
128959,0.999893333333,149984,9375.00
131327,0.999906666667,149986,10714.29
136959,0.999920000000,149988,12500.00
138751,0.999933333333,149990,15000.00
140415,0.999940000000,149991,16666.67
141951,0.999946666667,149992,18750.00
173439,0.999953333333,149993,21428.57
175103,0.999960000000,149994,25000.00
215167,0.999966666667,149995,30000.00
215807,0.999973333333,149996,37500.00
237567,0.999980000000,149997,50000.00
239359,0.999986666667,149998,75000.00
264703,0.999993333333,149999,150000.00
282111,1.000000000000,150000,0.00
