# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T02:00:15Z  tag=sweep-150000  offered_qps=150000  threads=2  mode=open-loop  protocol=udp
Value,Percentile,TotalCount,1/(1-Percentile)
9791,0.000000444433,1,1.00
13727,0.100647272779,226462,1.11
16879,0.200388790323,450886,1.25
17215,0.301752934149,678961,1.43
17471,0.403790838984,908552,1.68
17823,0.502851484585,1131444,2.01
18127,0.551900930466,1241808,2.23
18623,0.600543719801,1351257,2.50
19695,0.650082042403,1462721,2.86
21119,0.700195461802,1575479,3.34
22959,0.750229327626,1688058,4.00
24591,0.775137596575,1744103,4.45
30383,0.800116086000,1800306,5.00
37343,0.825080353556,1856477,5.72
51071,0.850019732842,1912592,6.67
78015,0.875009333101,1968820,8.00
110143,0.887514799632,1996958,8.89
195839,0.900015821828,2025086,10.00
384255,0.912507510924,2053193,11.43
739327,0.925002755487,2081308,13.33
1912831,0.937505999851,2109441,16.00
3633151,0.943750733315,2123492,17.78
5734399,0.950005688747,2137566,20.00
7077887,0.956264199647,2151648,22.86
8376319,0.962516488479,2165716,26.68
10149887,0.968750111108,2179742,32.00
11280383,0.971876255524,2186776,35.56
12779519,0.975004177674,2193814,40.01
15335423,0.978134766424,2200858,45.73
17907711,0.981278688175,2207932,53.42
19939327,0.984391499589,2214936,64.07
21774335,0.985967904799,2218483,71.27
23248895,0.987519421739,2221974,80.12
24330239,0.989086938281,2225501,91.63
26869759,0.990629122120,2228971,106.71
29704191,0.992193083194,2232490,128.09
30490623,0.992972619348,2234244,142.30
32079871,0.993759266436,2236014,160.24
32849919,0.994552580025,2237799,183.57
34471935,0.995319672044,2239525,213.66
35782655,0.996152984637,2241400,259.94
35946495,0.996526308679,2242240,287.88
36175871,0.996923632123,2243134,325.06
36438015,0.997282289863,2243941,367.96
36896767,0.997676502274,2244828,430.39
37224447,0.998048937449,2245666,512.54
37453823,0.998258265572,2246137,574.14
37879807,0.998447594193,2246563,644.16
38338559,0.998660922217,2247043,746.78
38567935,0.998855139605,2247480,873.47
38731775,0.999055134628,2247930,1058.35
38797311,0.999161798640,2248170,1193.03
38862847,0.999249796450,2248368,1332.97
38928383,0.999361349229,2248619,1565.80
38961151,0.999416903402,2248744,1714.98
39059455,0.999552011150,2249048,2232.20
39092223,0.999606676456,2249171,2542.44
39124991,0.999647119894,2249262,2833.82
39157759,0.999685341165,2249348,3178.05
39223295,0.999730673370,2249450,3712.96
39288831,0.999768005774,2249534,4310.45
39321599,0.999784005376,2249570,4629.74
39354367,0.999812449112,2249634,5331.89
39387135,0.999841337282,2249699,6302.68
39419903,0.999860447918,2249742,7165.78
39452671,0.999879558553,2249785,8302.79
39485439,0.999899113622,2249829,9912.14
39518207,0.999928001792,2249894,13889.23
39550975,0.999943112527,2249928,17578.56
39583743,0.999960445429,2249967,25281.53
39616511,0.999971111830,2249991,34616.25
39649279,0.999987111432,2250027,77588.14
39682047,0.999996888966,2250049,321436.57
39714815,1.000000000000,2250056,0.00
