# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T02:07:33Z  tag=omission-closed  offered_qps=150000  threads=2  mode=closed-loop  protocol=udp
Value,Percentile,TotalCount,1/(1-Percentile)
11959,0.000000590964,1,1.00
15351,0.102527493114,173492,1.11
15839,0.204400789291,345877,1.26
16231,0.301870223166,510810,1.43
16687,0.401066453289,678665,1.67
17135,0.503803147591,852511,2.02
17311,0.552466653390,934857,2.23
17519,0.605035839000,1023812,2.53
17727,0.651068964886,1101707,2.87
18015,0.700038589937,1184571,3.33
18335,0.751765652120,1272101,4.03
18511,0.777505080811,1315656,4.49
18671,0.802076765017,1357235,5.05
18863,0.826445748636,1398471,5.76
19103,0.851621988818,1441073,6.74
19423,0.875704945953,1481825,8.05
19615,0.888920078645,1504187,9.00
19823,0.901272995141,1525090,10.13
20063,0.913550859232,1545866,11.57
20399,0.925740078752,1566492,13.47
20975,0.937524488063,1586433,16.01
21375,0.943867302623,1597166,17.81
21759,0.950153975620,1607804,20.06
22095,0.956397508260,1618369,22.93
22447,0.962724957761,1629076,26.83
22863,0.968914121730,1639549,32.17
23103,0.972258976888,1645209,36.05
23359,0.975244526050,1650261,40.40
23647,0.978334675806,1655490,46.16
23983,0.981532380975,1660901,54.15
24351,0.984477744598,1665885,64.42
24607,0.986049708330,1668545,71.68
24943,0.987596851581,1671163,80.62
25407,0.989085489416,1673682,91.62
26143,0.990648588690,1676327,106.94
27199,0.992220552421,1678987,128.54
27855,0.993011852961,1680326,143.10
28687,0.993776560130,1681620,160.68
29727,0.994541267298,1682914,183.19
31103,0.995324294345,1684239,213.87
33151,0.996098456934,1685549,256.31
34559,0.996496175578,1686222,285.40
35839,0.996878529162,1686869,320.36
37183,0.997266792384,1687526,365.87
38879,0.997664511028,1688199,428.18
41311,0.998049228467,1688850,512.62
43167,0.998244837488,1689181,569.75
45343,0.998439264581,1689510,640.72
47647,0.998634282638,1689840,732.22
50175,0.998829891659,1690171,854.62
53503,0.999024318752,1690500,1024.92
55711,0.999121236816,1690664,1137.96
58911,0.999219336809,1690830,1280.96
62751,0.999316845837,1690995,1463.80
67327,0.999414354865,1691160,1707.52
71615,0.999514818713,1691330,2061.09
73343,0.999560913890,1691408,2277.46
75007,0.999611736778,1691494,2575.57
76031,0.999659013882,1691574,2932.67
77439,0.999709245806,1691659,3439.33
78527,0.999757704838,1691741,4127.20
79103,0.999783116282,1691784,4610.77
79679,0.999806163871,1691823,5159.00
80575,0.999829802423,1691863,5875.52
81343,0.999855213867,1691906,6906.74
82495,0.999878261455,1691945,8214.33
83327,0.999891853623,1691968,9246.73
84351,0.999903081935,1691987,10317.99
85439,0.999915492175,1692008,11833.22
86463,0.999927311452,1692028,13757.33
88575,0.999939130728,1692048,16428.65
89919,0.999945631330,1692059,18392.95
91647,0.999952131931,1692070,20890.75
93055,0.999957450606,1692079,23502.10
95679,0.999963951208,1692090,27740.18
101951,0.999969860846,1692100,33179.43
103999,0.999972815665,1692105,36785.89
110591,0.999975770484,1692110,41271.98
113343,0.999978725303,1692115,47004.19
116415,0.999982862050,1692122,58350.03
119615,0.999985225905,1692126,67686.04
122623,0.999986407832,1692128,73571.78
127615,0.999988180724,1692131,84607.55
137087,0.999989362651,1692133,94008.39
179967,0.999991135543,1692136,112810.07
245119,0.999992908434,1692139,141012.58
247935,0.999993499398,1692140,153831.91
250751,0.999994090362,1692141,169215.10
253055,0.999994681326,1692142,188016.78
262399,0.999995863253,1692144,241735.86
266495,0.999996454217,1692145,282025.17
273663,0.999997045181,1692146,338430.20
275455,0.999997636145,1692147,423037.75
275967,0.999998227109,1692148,564050.33
283903,0.999998818072,1692149,846075.50
287999,0.999999409036,1692150,1692151.00
289023,1.000000000000,1692151,0.00
