# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T01:19:49Z  tag=sweep-100000  offered_qps=100000  threads=2  mode=open-loop
Value,Percentile,TotalCount,1/(1-Percentile)
10023,0.000000666667,1,1.00
15959,0.100697333333,151046,1.11
16895,0.200616666667,300925,1.25
17487,0.303064000000,454596,1.43
17711,0.406836000000,610254,1.69
17951,0.501105333333,751658,2.00
18111,0.552987333333,829481,2.24
18303,0.601320000000,901980,2.51
18527,0.650899333333,976349,2.86
18783,0.701742666667,1052614,3.35
19183,0.751088666667,1126633,4.02
19599,0.775299333333,1162949,4.45
20783,0.800203333333,1200305,5.01
23599,0.825750666667,1238626,5.74
24047,0.850292666667,1275439,6.68
25231,0.875063333333,1312595,8.00
28367,0.887580000000,1331370,8.90
31615,0.900010000000,1350015,10.00
37503,0.912502666667,1368754,11.43
46911,0.925002666667,1387504,13.33
65727,0.937506666667,1406260,16.00
85695,0.943758000000,1415637,17.78
117247,0.950014666667,1425022,20.01
166399,0.956256666667,1434385,22.86
229759,0.962510666667,1443766,26.67
300799,0.968764666667,1453147,32.02
338431,0.971876666667,1457815,35.56
374783,0.975012000000,1462518,40.02
409855,0.978144000000,1467216,45.75
456959,0.981269333333,1471904,53.39
519935,0.984381333333,1476572,64.03
569855,0.985941333333,1478912,71.13
630783,0.987506666667,1481260,80.04
706047,0.989068000000,1483602,91.47
800255,0.990630000000,1485945,106.72
891903,0.992191333333,1488287,128.06
969215,0.992976666667,1489465,142.38
1051647,0.993756000000,1490634,160.15
1170431,0.994539333333,1491809,183.13
1311743,0.995318666667,1492978,213.61
1491967,0.996095333333,1494143,256.10
1719295,0.996484666667,1494727,284.47
1965055,0.996878000000,1495317,320.31
2295807,0.997266000000,1495899,365.76
2854911,0.997657333333,1496486,426.86
4198399,0.998048000000,1497072,512.30
4730879,0.998244000000,1497366,569.48
5476351,0.998438000000,1497657,640.20
6287359,0.998633333333,1497950,731.71
7032831,0.998828666667,1498243,853.73
7442431,0.999025333333,1498538,1025.99
7651327,0.999122666667,1498684,1139.82
7860223,0.999220000000,1498830,1282.05
8191999,0.999316666667,1498975,1463.41
8503295,0.999416666667,1499125,1714.29
9060351,0.999512000000,1499268,2049.18
9478143,0.999562666667,1499344,2286.59
9658367,0.999612000000,1499418,2577.32
9871359,0.999659333333,1499489,2935.42
10215423,0.999707333333,1499561,3416.86
10788863,0.999756000000,1499634,4098.36
10993663,0.999781333333,1499672,4573.17
11157503,0.999805333333,1499708,5136.99
11304959,0.999830000000,1499745,5882.35
11444223,0.999854000000,1499781,6849.32
11583487,0.999879333333,1499819,8287.29
11657215,0.999890666667,1499836,9146.34
11747327,0.999902666667,1499854,10273.97
11829247,0.999915333333,1499873,11811.02
11902975,0.999928000000,1499892,13888.89
11976703,0.999939333333,1499909,16483.52
12001279,0.999945333333,1499918,18292.68
12034047,0.999951333333,1499927,20547.95
12058623,0.999957333333,1499936,23437.50
12099583,0.999964000000,1499946,27777.78
12140543,0.999970000000,1499955,33333.33
12156927,0.999974000000,1499961,38461.54
12181503,0.999976000000,1499964,41666.67
12214271,0.999980000000,1499970,50000.00
12238847,0.999982000000,1499973,55555.56
12279807,0.999986000000,1499979,71428.57
12296191,0.999988000000,1499982,83333.33
12312575,0.999989333333,1499984,93750.00
12337151,0.999990666667,1499986,107142.86
12353535,0.999992000000,1499988,125000.00
12369919,0.999993333333,1499990,150000.00
12394495,0.999994666667,1499992,187500.00
12410879,0.999995333333,1499993,214285.71
12435455,0.999996000000,1499994,250000.00
12451839,0.999996666667,1499995,300000.00
12468223,0.999997333333,1499996,375000.00
12492799,0.999998000000,1499997,500000.00
12509183,0.999998666667,1499998,750000.00
12525567,0.999999333333,1499999,1500000.00
12550143,1.000000000000,1500000,0.00
